52015012810093969ERCE                       263212640M      M15PRFFAGMVY00
52015012810093969ERCE                       262260635M      M01PSPPAGMV000
52015012810093969ERCE                       261776118M      M02PTAAAGMWB00
52015012810093969ERCE                       263212636M      M01PTJKAGMVX00
52015012810093969ERCE                       263212636M      M04PTJKAGMVX00
52015012810093969ERCE                       263212636M      M07PTJKAGMVX00
52015012810093969ERCE                       263212636M      M10PTJKAGMVX00
52015012810093969ERCE                       263212636M      M13PTJKAGMVX00
52015012810093969ERCE                       263189842M      M03PTJKAGMVZ00
52015012810093969ERCE                       260553563M      M01PJAAAHV9100
52015012810093969ERCE                       260538766M      M03PMJKAHV9600
52015012810093969ERCE                       181250731H000002D02PSPPAGMMW00
52015012810093969ERCE                       261652766M      M01PSYZAGMM200
52015012810093969ERCE                       261938956M      M03PTAAAGMM500
52015012810093969ERCE                       261529447M      D02PBFFAHWD300
52015012810093969ERCE                       181250735W000002D01PBYZAHWD000
52015012810093969ERCE                       261093708M      M01PC34AHWDZ00
52015012810093969ERCE                       181250735W000002D01PFPPAHWDT00
52015012810093969ERCE                       261529447M      D01PGJKAHWDV00
52015012810093969ERCE                       263199077W000002D01PJYZAHWDP00
52015012810093969ERCE                       261092761M      D01PKTVAHWDT00
52015012810093969ERCE                       261529447M      D01PNFFAGMQY00
52015012810093969ERCE                       181250731H000002D01PNPPAGMQZ00
52015012810093969ERCE                       261093708M      M01PPPPAGMQW00
52015012810093969ERCE                       262976887M      M03PAAAAHWPB00
52015012810093969ERCE                       262976887M      M06PAAAAHWPB00
52015012810093969ERCE                       262075907M      M02PGAAAHWGR00
52015012810093969ERCE                       260553562M      M02PKAAAHWGS00
52015012810093969ERCE                       260553562M      M05PKAAAHWGS00
52015012810093969ERCE                       260553562M      M08PKAAAHWGS00
52015012810093969ERCE                       260553562M      M11PKAAAHWGS00
52015012810093969ERCE                       260553562M      M02PPYZAGMSX00
52015012810093969ERCE                       260553562M      M05PPYZAGMSX00
52015012810093969ERCE                       260553562M      M08PPYZAGMSX00
